id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26443988,***Bright & welcoming room at Munich's center***,26522009,Martin,,Maxvorstadt,48.15046,11.57443,Private room,42,1,2,2020-09-27,0.29,1,0
26446529,Cosy Hideaway in the center of Munich - Familyspot,44245420,Korkut,,Maxvorstadt,48.15703,11.56275,Entire home/apt,195,4,1,2020-03-08,0.08,1,0
26448116,Apartment nearby Allianz Arena,100550254,Ahmet,,Schwabing-Freimann,48.20901,11.61343,Shared room,100,3,0,,,1,173
26493329,München Mittendrin***,8754681,Nikola,,Ludwigsvorstadt-Isarvorstadt,48.12903,11.57738,Private room,50,1,129,2020-11-13,3.90,1,91
26504923,Altbauwohnung mit Charme,4474437,Julia,,Neuhausen-Nymphenburg,48.15573,11.53339,Entire home/apt,75,2,6,2019-09-23,0.20,1,178
26528825,Oktoberfest room,199524737,Burak,,Milbertshofen-Am Hart,48.20027,11.5847,Private room,70,1,1,2019-09-30,0.05,1,180
26544894,PM-Rooms : Cozy hostel in Munich,1013466,PM-Rooms,,Laim,48.13992,11.52062,Private room,35,2,18,2020-03-09,0.56,8,347
26551300,Stylisch mit eigenem Eingang & near trade fair,11606733,Dany,,Tudering-Riem,48.10636,11.70926,Private room,70,1,28,2020-08-16,1.07,1,181
26579269,PM-Rooms : Cozy hostel in Munich,1013466,PM-Rooms,,Laim,48.13924,11.51834,Private room,35,2,36,2020-03-14,1.09,8,347
26581948,"Hell-ruhig, Nähe Messe",9783119,Conny,,Bogenhausen,48.1462,11.63688,Private room,45,4,3,2019-04-10,0.10,1,363
26589823,München zentral und ruhig erleben,41790594,Hagen,,Schwanthalerhöhe,48.14016,11.53377,Private room,150,3,0,,,1,363
26590119,"Charmante, designaffige Wohnung in München",17996398,Maresa,,Laim,48.13928,11.49788,Entire home/apt,85,4,6,2020-01-04,0.19,1,149
26600215,Central Oasis close to Octoberfest,12594675,Jessica,,Maxvorstadt,48.14911,11.55909,Entire home/apt,85,3,16,2019-10-08,0.52,1,2
26600962,Design loft Sendling,13067106,Bassi,,Sendling,48.10609,11.53895,Entire home/apt,125,1,19,2021-03-20,0.63,1,0
26615287,Premium Design Flat // City Centre,200097957,Sarah,,Altstadt-Lehel,48.13581,11.58337,Entire home/apt,104,2,29,2021-02-07,0.87,1,23
26618872,Cosy and bright apartment,56029341,Stefania,,Sendling-Westpark,48.1128,11.53469,Private room,36,6,0,,,1,362
26647991,Guest Room in Shared Flat,43325152,Armin,,Schwabing-West,48.17548,11.56619,Private room,29,1,27,2020-03-21,0.84,1,0
26648180,Gemütliches Zimmer... Altbau... WG,21740382,Karl,,Ludwigsvorstadt-Isarvorstadt,48.13056,11.55663,Private room,120,1,28,2019-10-23,0.85,2,179
26685249,Möblierte Dachwohnung am Park,7758542,Matthias,,Moosach,48.18021,11.5255,Entire home/apt,40,180,0,,,1,299
